City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
259,Pergamino,AR,83.25,clear sky,-33.89,-60.5736,Hotel Fachinat
262,Port Moresby,PG,76.42,few clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
266,Sabang,ID,82.22,broken clouds,5.8933,95.3214,Hotel Citra
272,Lompoc,US,83.57,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
273,Nisia Floresta,BR,88.61,clear sky,-6.0911,-35.2086,Rancho Crepusculo
278,Rawson,AR,88.92,clear sky,-43.3002,-65.1023,Hosteria Sampedro
281,Caraballeda,VE,88.38,few clouds,10.6112,-66.8522,Hotel 15 Letras
284,Eydhafushi,MV,81.64,overcast clouds,5.1033,73.0708,Soneva Fushi
285,Padang,ID,77.09,overcast clouds,-0.9492,100.3543,Mercure Padang
292,Hithadhoo,MV,82.42,overcast clouds,-0.6,73.0833,Scoop Guest House
297,Grand-Bourg,GP,85.05,clear sky,15.8835,-61.3148,Coco Beach Resort
301,Santa Cruz,BO,83.66,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
302,Belmonte,BR,84.2,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
303,Kandrian,PG,75.96,overcast clouds,-6.2167,149.55,Kandrian Station
305,Bathsheba,BB,75.81,broken clouds,13.2167,-59.5167,Atlantis Hotel
308,Abaete,BR,79.07,broken clouds,-19.16,-45.4458,Hotel Millenium
311,Meulaboh,ID,76.59,broken clouds,4.1363,96.1285,Kost Pria
312,Cap Malheureux,MU,81.46,overcast clouds,-19.9842,57.6142,Pereybere Hotel & Spa
315,Pitimbu,BR,88.39,clear sky,-7.4706,-34.8086,Reserva do Abiaí
317,Kloulklubed,PW,79.3,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
318,Kavieng,PG,80.62,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
322,Tautira,PF,84.22,light rain,-17.7333,-149.15,Pension Oaoa
328,Buchanan,LR,85.96,broken clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
329,Rosa Zarate,EC,78.04,overcast clouds,0.3333,-79.4667,Piscinas y Recepciones Hecalash
330,Caramay,PH,77.31,overcast clouds,10.1815,119.236,Peace and Love Beach Club
331,Vao,NC,78.28,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
337,Riachao Do Jacuipe,BR,88.84,light rain,-11.8069,-39.3856,Riachão Palace Hotel
338,Eirunepe,BR,79.21,light rain,-6.6603,-69.8736,Atrás de você
339,Tual,ID,81.84,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
340,Itarema,BR,85.44,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
342,Bandarbeyla,SO,75.83,broken clouds,9.4942,50.8122,JABIR HOTEL
343,Nabire,ID,75.97,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
346,Trincomalee,LK,80.08,overcast clouds,8.5711,81.2335,Welcombe Hotel
348,Coihaique,CL,81.21,clear sky,-45.5752,-72.0662,Diego De Almagro Coyhaique
349,San Martin,AR,84.74,clear sky,-33.081,-68.4681,Club El Pelícano
352,Mahibadhoo,MV,82.2,overcast clouds,3.7833,72.9667,Omadhoo Inn
359,Bambous Virieux,MU,81.21,scattered clouds,-20.3428,57.7575,Casa Tia Villa
363,Laguna,US,76.84,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
364,Altamira,BR,82.49,scattered clouds,-3.2033,-52.2064,Requinte Hotel
365,Hambantota,LK,75.97,overcast clouds,6.1241,81.1185,Bungalow 63
371,Tandil,AR,77.74,clear sky,-37.3217,-59.1332,Hostal de la Sierra Tandil
374,Kuching,MY,77.22,scattered clouds,1.55,110.3333,The Ranee Boutique Suites
380,Ancud,CL,80.22,clear sky,-41.8697,-73.8203,Hotel Arena Gruesa
383,Bahia Blanca,AR,87.13,clear sky,-38.7196,-62.2724,Hotel Argos
384,Monte Patria,CL,81.63,clear sky,-30.6919,-70.9467,Hotel Monte Cordillera
393,Pisco,PE,77.05,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
394,Grand Gaube,MU,81.37,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
398,Vila Velha,BR,84.15,broken clouds,-20.3297,-40.2925,Quality Suites Vila Velha
399,Saint-Joseph,RE,79.18,few clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
406,Bom Jesus Da Lapa,BR,80.2,broken clouds,-13.255,-43.4181,Hotel das Nações
408,Beloha,MG,76.06,scattered clouds,-25.1667,45.05,
410,Iralaya,HN,80.69,clear sky,15.0,-83.2333,Iglesia morava renovada
415,Zinder,NE,80.56,clear sky,13.8072,8.9881,Hotel de Ville
422,Dzaoudzi,YT,78.69,clear sky,-12.7887,45.2699,Le Rocher
423,Touros,BR,88.7,clear sky,-5.1989,-35.4608,INN NEW HORIZON
426,Carutapera,BR,81.39,overcast clouds,-1.195,-46.02,Lidera
439,Kudahuvadhoo,MV,81.82,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
443,Manta,EC,80.38,broken clouds,-0.95,-80.7333,Balandra Hotel
445,Kampong Cham,KH,78.82,broken clouds,11.9934,105.4635,7 Makara Hotel
446,Osmena,PH,79.05,overcast clouds,10.5208,119.9258,Arjemarkyza Lodge
449,Mayumba,GA,78.64,overcast clouds,-3.432,10.6554,LIKWALE LODGE
450,Uruana,BR,75.67,broken clouds,-15.4981,-49.6875,Hotel E Restaurante Bom Jesus
451,Sechura,PE,83.75,overcast clouds,-5.5569,-80.8222,Hospedaje Costa Bella
452,Aden,YE,76.71,clear sky,12.7794,45.0367,Sama Emirate Hotel
457,Karratha,AU,84.65,overcast clouds,-20.7377,116.8463,ibis Styles Karratha
458,Merauke,ID,78.37,few clouds,-8.4667,140.3333,
480,Sinnamary,GF,79.2,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
488,Guararapes,BR,86.27,broken clouds,-21.2608,-50.6428,Hotel Nacional Business
491,San Ignacio,BZ,84.34,broken clouds,17.1561,-89.0714,Rainforest Haven Inn
