City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Bireun,ID,5.203,96.7009,77.72,81,81,3.36,moderate rain
79,Nizhniy Tsasuchey,RU,50.5167,115.1333,-20.7,99,19,4.05,few clouds
80,East London,ZA,-33.0153,27.9116,72.54,94,75,8.05,broken clouds
81,Eyemouth,GB,55.8713,-2.0901,44.82,94,100,8.19,overcast clouds
82,Kruisfontein,ZA,-34.0033,24.7314,66.69,87,58,7.96,broken clouds
83,Sorland,NO,67.667,12.6934,32.07,57,100,26.64,overcast clouds
84,Bull Savanna,JM,17.8868,-77.5902,83.1,53,4,14.34,clear sky
85,Port Lincoln,AU,-34.7333,135.8667,65.68,88,42,11.81,scattered clouds
86,Vershino-Darasunskiy,RU,52.35,115.5167,-21.57,99,88,3.6,overcast clouds
87,Male,MV,4.1748,73.5089,80.91,78,100,14.74,overcast clouds
88,Bengkulu,ID,-3.8004,102.2655,77.13,89,100,4.81,overcast clouds
89,Mogadishu,SO,2.0371,45.3438,77.72,79,100,16.49,overcast clouds
90,Port Blair,IN,11.6667,92.75,75.24,78,20,4.61,mist
91,Ahipara,NZ,-35.1667,173.1667,63.5,64,27,8.63,scattered clouds
92,Hasaki,JP,35.7333,140.8333,34.29,95,100,33.13,snow
93,Leningradskiy,RU,69.3833,178.4167,-17.66,94,95,5.79,overcast clouds
94,Mar Del Plata,AR,-38.0023,-57.5575,69.82,61,0,14.97,clear sky
95,Arraial Do Cabo,BR,-22.9661,-42.0278,82.36,74,40,13.8,scattered clouds
96,Sarai,RU,53.7458,41.0213,18.45,95,88,8.3,overcast clouds
97,Iqaluit,CA,63.7506,-68.5145,-18.67,76,75,2.3,broken clouds
98,Iisalmi,FI,63.5592,27.1907,32.02,97,100,10.18,light snow
99,Drumheller,CA,51.4617,-112.7101,43.52,56,54,1.14,broken clouds
100,Ponta Do Sol,PT,32.6667,-17.1,66.13,66,74,3.58,broken clouds
101,Dongning,CN,44.0622,131.1207,-6.88,98,72,3.6,broken clouds
102,Evensk,RU,61.95,159.2333,-5.73,73,49,9.4,scattered clouds
103,Taguatinga,BR,-12.3857,-46.5711,79.93,74,85,3.83,overcast clouds
104,Severo-Kurilsk,RU,50.6789,156.125,21.6,71,20,8.61,few clouds
105,Vlcnov,CZ,49.5787,17.9546,34.93,53,0,9.22,clear sky
106,Cayenne,GF,4.9333,-52.3333,84.24,82,75,14.97,broken clouds
107,Bluff,NZ,-46.6,168.3333,41.81,87,11,3.78,few clouds
108,Port Perry,CA,44.1068,-78.9444,14.18,75,50,6.06,scattered clouds
109,Taksimo,RU,56.3444,114.8794,-25.38,92,27,1.81,scattered clouds
110,Chuy,UY,-33.6971,-53.4616,73.81,37,2,14.2,clear sky
111,Saskylakh,RU,71.9167,114.0833,-15.48,84,50,3.56,scattered clouds
112,Akyab,MM,20.15,92.9,65.82,60,88,8.05,overcast clouds
113,Puerto Baquerizo Moreno,EC,-0.9,-89.6,81.59,74,75,11.5,broken clouds
